Operation,Index,Time(ns),Operations
Delete,842,2500,28
Delete,843,2100,30
Delete,844,2000,26
Delete,845,3000,28
Delete,846,2100,26
Delete,847,2800,24
Delete,848,1600,26
Delete,849,2400,30
Delete,850,2600,28
Delete,851,1900,30
Delete,852,1900,26
Delete,853,2800,30
Delete,854,2100,28
Delete,855,1900,26
Delete,856,1500,28
Delete,857,2200,24
Delete,858,1700,24
Delete,859,4500,32
Delete,860,3200,30
Delete,861,3000,26
Delete,862,2200,26
Delete,863,4200,28
Delete,864,2200,24
Delete,865,2400,32
Delete,866,2100,24
Delete,867,5700,28
Delete,868,2200,26
Delete,869,2400,24
Delete,870,1900,26
Delete,871,1900,32
Delete,872,2400,26
Delete,873,1800,28
Delete,874,1800,26
Delete,875,2800,30
Delete,876,1800,24
Delete,877,2200,26
Delete,878,1700,26
Delete,879,2300,30
Delete,880,2100,30
Delete,881,1900,26
Delete,882,1800,24
Delete,883,2100,26
Delete,884,2600,28
Delete,885,2400,28
Delete,886,2400,28
Delete,887,1700,26
Delete,888,2600,32
Delete,889,1600,30
Delete,890,2100,24
Delete,891,1900,30
Delete,892,2400,32
Delete,893,2500,28
Delete,894,1900,32
Delete,895,1600,22
Delete,896,2600,28
Delete,897,2000,24
Delete,898,2500,30
Delete,899,1400,26
Delete,900,2400,26
Delete,901,1600,26
Delete,902,1800,28
Delete,903,3700,30
Delete,904,2700,30
Delete,905,2500,30
Delete,906,1800,24
Delete,907,1900,32
Delete,908,2400,26
Delete,909,2700,26
Delete,910,1500,28
Delete,911,2800,28
Delete,912,1900,28
Delete,913,2000,26
Delete,914,2300,24
Delete,915,2100,24
Delete,916,2200,26
Delete,917,2300,24
Delete,918,2300,24
Delete,919,2400,30
Delete,920,2500,28
Delete,921,2900,24
Delete,922,1600,24
Delete,923,1500,24
Delete,924,2200,28
Delete,925,1300,26
Delete,926,3000,24
Delete,927,3000,30
Delete,928,2400,28
Delete,929,2600,26
Delete,930,1700,24
Delete,931,2000,26
Delete,932,1500,24
Delete,933,1600,24
Delete,934,1900,28
Delete,935,2000,26
Delete,936,2200,26
Delete,937,2100,28
Delete,938,2200,26
Delete,939,1900,26
Delete,940,2100,30
Delete,941,2600,30
Delete,942,2900,24
Delete,943,2800,28
Delete,944,3000,30
Delete,945,2300,26
Delete,946,2100,30
Delete,947,2000,28
Delete,948,2500,26
Delete,949,3200,24
Delete,950,2100,26
Delete,951,1400,27
Delete,952,1700,26
Delete,953,2600,30
Delete,954,2100,24
Delete,955,2700,24
Delete,956,1500,28
Delete,957,2400,32
Delete,958,2100,24
Delete,959,2200,26
Delete,960,1600,26
Delete,961,1900,24
Delete,962,2400,28
Delete,963,3600,32
Delete,964,2300,24
Delete,965,3500,32
Delete,966,1900,22
Delete,967,2900,30
Delete,968,1900,30
Delete,969,2300,26
Delete,970,3400,29
Delete,971,2300,26
Delete,972,1700,26
Delete,973,3100,30
Delete,974,3300,26
Delete,975,2200,30
Delete,976,1700,28
Delete,977,3100,28
Delete,978,2600,28
Delete,979,2200,28
Delete,980,4500,28
Delete,981,1600,26
Delete,982,2500,28
Delete,983,1400,28
Delete,984,1700,24
Delete,985,2400,30
Delete,986,1900,30
Delete,987,1500,24
Delete,988,1200,26
Delete,989,1800,28
Delete,990,2800,26
Delete,991,1800,22
Delete,992,3200,28
Delete,993,3300,24
Delete,994,3500,28
Delete,995,2800,30
Delete,996,3500,24
Delete,997,2400,28
Delete,998,1500,26
Delete,999,3100,28
Delete,1000,1500,26
Delete Summary,,3689,30,27,03
