Operation,Index,Time(ns),Operations
Insert,1079,600,21
Insert,1080,600,25
Insert,1081,600,21
Insert,1082,500,21
Insert,1083,700,23
Insert,1084,600,21
Insert,1085,700,23
Insert,1086,600,21
Insert,1087,700,23
Insert,1088,600,21
Insert,1089,600,21
Insert,1090,600,21
Insert,1091,600,25
Insert,1092,600,25
Insert,1093,600,23
Insert,1094,600,21
Insert,1095,600,19
Insert,1096,500,25
Insert,1097,700,21
Insert,1098,600,21
Insert,1099,700,21
Insert,1100,600,19
Insert,1101,600,23
Insert,1102,600,23
Insert,1103,700,27
Insert,1104,700,21
Insert,1105,500,21
Insert,1106,600,21
Insert,1107,700,23
Insert,1108,700,23
Insert,1109,600,17
Insert,1110,600,23
Insert,1111,600,23
Insert,1112,700,25
Insert,1113,600,23
Insert,1114,500,19
Insert,1115,600,21
Insert,1116,600,23
Insert,1117,700,27
Insert,1118,600,21
Insert,1119,600,23
Insert,1120,600,21
Insert,1121,600,19
Insert,1122,500,23
Insert,1123,700,25
Insert,1124,600,19
Insert,1125,700,23
Insert,1126,700,29
Insert,1127,600,21
Insert,1128,600,21
Insert,1129,700,25
Insert,1130,600,19
Insert,1131,600,23
Insert,1132,600,21
Insert,1133,600,21
Insert,1134,600,23
Insert,1135,600,23
Insert,1136,600,19
Insert,1137,600,21
Insert,1138,500,21
Insert,1139,600,19
Insert,1140,700,23
Insert,1141,600,23
Insert,1142,500,21
Insert,1143,600,19
Insert,1144,400,17
Insert,1145,600,19
Insert,1146,500,17
Insert,1147,10400,21
Insert,1148,700,25
Insert,1149,600,23
Insert,1150,500,19
Insert,1151,500,21
Insert,1152,500,21
Insert,1153,600,21
Insert,1154,600,21
Insert,1155,600,21
Insert,1156,500,19
Insert,1157,500,19
Insert,1158,600,23
Insert,1159,600,25
Insert,1160,1300,21
Insert,1161,600,21
Insert,1162,1000,23
Insert,1163,700,23
Insert,1164,600,21
Insert,1165,600,19
Insert,1166,600,21
Insert,1167,500,21
Insert,1168,600,27
Insert,1169,600,23
Insert,1170,600,21
Insert,1171,500,21
Insert,1172,500,21
Insert,1173,1000,21
Insert,1174,600,21
Insert,1175,500,23
Insert,1176,600,21
Insert,1177,500,21
Insert,1178,600,23
Insert,1179,600,23
Insert,1180,500,19
Insert,1181,500,19
Insert,1182,600,25
Insert,1183,500,19
Insert,1184,600,23
Insert,1185,600,25
Insert,1186,600,21
Insert,1187,500,21
Insert,1188,500,23
Insert,1189,500,19
Insert,1190,500,23
Insert,1191,600,23
Insert,1192,400,17
Insert,1193,600,21
Insert,1194,500,21
Insert,1195,500,21
Insert,1196,600,21
Insert,1197,500,23
Insert,1198,600,21
Insert,1199,600,23
Insert,1200,500,19
Insert,1201,500,23
Insert,1202,500,21
Insert,1203,600,27
Insert,1204,600,25
Insert,1205,500,19
Insert,1206,500,21
Insert,1207,600,25
Insert,1208,600,23
Insert,1209,500,19
Insert,1210,500,19
Insert,1211,600,23
Insert,1212,700,27
Insert,1213,500,19
Insert,1214,600,25
Insert,1215,500,21
Insert,1216,600,25
Insert,1217,600,23
Insert,1218,500,21
Insert,1219,400,19
Insert,1220,500,17
Insert,1221,500,21
Insert,1222,600,25
Insert,1223,500,23
Insert,1224,500,23
Insert,1225,500,23
Insert,1226,600,23
Insert,1227,500,23
Insert,1228,700,21
Insert,1229,500,19
Insert,1230,500,21
Insert,1231,500,19
Insert,1232,700,25
Insert,1233,600,23
Insert,1234,600,19
Insert,1235,600,19
Insert,1236,400,12
Insert,1237,600,25
Insert,1238,600,21
Insert,1239,500,21
Insert,1240,500,21
Insert,1241,600,21
Insert,1242,500,19
Insert,1243,600,19
Insert,1244,500,17
Insert,1245,600,21
Insert,1246,600,23
Insert,1247,500,21
Insert,1248,600,19
Insert,1249,600,23
Insert,1250,600,22
Insert,1251,1000,23
Insert,1252,500,21
Insert,1253,700,25
Insert,1254,600,21
Insert,1255,700,23
Insert,1256,500,21
Insert,1257,600,25
Insert,1258,600,25
Insert,1259,500,23
Insert,1260,600,23
Insert,1261,1000,21
Insert,1262,500,21
Insert,1263,600,21
Insert,1264,600,25
Insert,1265,500,23
Insert,1266,600,23
Insert,1267,600,25
Insert,1268,500,21
Insert,1269,500,19
Insert,1270,600,27
Insert,1271,500,21
Insert,1272,1100,25
Insert,1273,600,23
Insert,1274,600,23
Insert,1275,700,25
Insert,1276,600,27
Insert,1277,500,23
Insert,1278,600,23
Insert,1279,600,23
Insert,1280,700,27
Insert,1281,600,21
Insert,1282,500,17
Insert,1283,700,31
Insert,1284,600,21
Insert,1285,700,23
Insert,1286,500,21
Insert,1287,600,25
Insert,1288,600,21
Insert,1289,600,25
Insert,1290,600,23
Insert,1291,500,21
Insert,1292,600,23
Insert,1293,600,25
Insert,1294,600,23
Insert,1295,500,23
Insert,1296,600,21
Insert,1297,400,22
Insert,1298,600,23
Insert,1299,500,23
Insert,1300,500,21
Insert,1301,600,21
Insert,1302,600,23
Insert,1303,600,25
Insert,1304,600,25
Insert,1305,600,21
Insert,1306,700,27
Insert,1307,500,21
Insert,1308,500,21
Insert,1309,600,23
Insert,1310,600,23
Insert,1311,600,25
Insert,1312,600,27
Insert,1313,500,19
Insert,1314,700,25
Insert,1315,600,21
Insert,1316,600,21
Insert,1317,600,23
Insert,1318,500,23
Insert,1319,500,19
Insert,1320,500,23
Insert,1321,600,23
Insert,1322,600,27
Insert,1323,500,21
